id,username,date,tweet
1387717412863102982,riffir_man,2021-04-29,"@AREAJULID @Prakoso___ Gila Hormat ni Orang Kemaren gua pikir tuh itu babi dari hutan, tp kan depok g ada hutan, ato juga dr ternak, ato tu celeng lompat dari truk, ternyata beli online, Babol yang malang"
1387716818651926529,mapletearup,2021-04-29,"lagian pada kenapa sih percaya babi ngepet😔sampe ada yg nanya ""babi ngapain ada di depok?"" hey anda kira babi hidup cuma di hutan??? 🤦🏼‍♀️"
1387714837975756803,kopisbux,2021-04-29,"@tubbirfess Waktu awal emang kaya ga masuk akal sih masa iya sih babi ngepet? Cuma mengingat sedesa desanya daerah depok itu yaaa, udah banyak rumah juga ga akan ada lah babi hutan kan jadi galau ya. Untung ga 100% percaya sih ada yg ngepet, cuma kesian aja tuh babi mana dibully dulu lg"
1387713504233275396,hopsindonesia,2021-04-29,Depok banjir nyinyir  https://t.co/gZeob9ngct
1387704292455460866,pelitakininews,2021-04-29,Ustaz Adam Sengaja Beli Babi Hutan untuk Sebarkan Hoaks B*bi Ngepet di Depok   https://t.co/k2KismgFAT
1387703513208299522,luvuey,2021-04-29,"@ZOO_FESS emak emak jaman sekarang kurang""in ya punya mindset kaya gitu lagian kan itu depok masih ada kemungkinan kalo itu babi hutan kalo di jaksel tuh baru kemungkinan itu babi hutan dikit karna kan gaada hutan paling cuma kebun"" doang"
1387702173325213696,loh_rudy,2021-04-29,Wkwkwk terus yg kemarin percaya sampe ndakik-ndakik katanya Depok jauh dr hutan &amp; babinya ukuranya smakin mengecil.. Apa kabar? Wkwk
1387700655830224899,895jizfm,2021-04-29,"di #InfoTerkini abis ini ada: - Izin Masih Diurus, Rencana Taman Safari Panggang Belum ke Pembebasan Lahan - Babi Ngepet Depok Cuma Rekayasa, Pelaku Ditangkap Polisi  - Sungai Meluap Puluhan Rumah Terendam Banjir  Streaming :  https://t.co/wDaw4OQz5b"
1387697813316853763,utpudah,2021-04-29,"@rahung Butterfly effect itu seperti kepak babi hutan di bukit algoritma, ngepet di depok"
1387697676683202564,jnecare,2021-04-29,"@danny_dfd Sore kak Danny, adm cek untuk pengiriman dari cimanggis depok - tanjung selor service tercepat menggunakan service REG dengan estimasi 3-5 hari. Mohon info packingan dan kapasitas oksigen berapa kuat berapa lama kak? Thx ^Raka"
1387696628967124992,teleskopid,2021-04-29,"Usut punya usut, setelah #riset dilakukan ternyata Chupabaras (Goatsucker) adalah hoax! Ia sebenarnya adalah seekor anjing hutan yang dilepas oleh #manusia bulunya dengan sengaja. Jadi, opini soal #mistis terpaksa harus terbantahkan.   Depok Babi Ngepet #depok #hoax #mistis"
1387696346430279680,exhevrria,2021-04-29,kaka gw tinggal di depok gw cengin mulu masalah babi hutan wkwkwkwk
1387695767717093379,depokinfo_,2021-04-29,#News: Pohon Tumbang di Juanda Berhasil Dievakuasi Damkar dan DLHK  https://t.co/uYZJ89ZBDW | Depok News
1387695766211334144,depokinfo_,2021-04-29,"#News: Tangani Longsor di Pasir Putih, DPUPR : Kami Fokus Mengangkat Material Longsor  https://t.co/UaN16QSQp1 | Depok News"
1387692132819890178,bhimochi,2021-04-29,"""Itu pasti babi ngepet dan bukan babi hutan. Soalnya di Depok nggak ada hutan."" ""Itu pasti babi ngepet karena daerah sini masih dekat dengan hal-hal mistis.""  Ehh ternyata ada yang beli babi. Ustadz pula. Depok komedinya gerr gerr gerr! 😂"
1387688894825570305,chaerin__,2021-04-29,Yah kok babi ngepet d depok hoax 😭😭😭 udah ada rencana mau ngepet buat beli merch @BTS_twt yang mengalir kaya sungai
1387684284685713411,ferizandra,2021-04-29,"Baru dapat info, Bang Syahganda Nainggolan divonis 10 bulan penjara di PN Depok, jauh lebih ringan daripada tuntutan jaksa yang 6 tahun penjara...  Dipotong masa tahanan, sisa 3 bulan lagi Bang Syahganda akan menghirup udara bebas..."
1387683222327218185,merlionele,2021-04-29,"Tapi emang Depok aneh banget wkwkwkwk Gue pernah 2x lari pagi bareng temen di periode waktu yg berbeda diikutin sampe pulang ama orang ga jelas ala ala drakor. Asli creepy parah. Kita berhenti, dia berhenti, kita foto2 dia nungguin foto2 sok2 lihat danau. Whats wrong with Depok."
1387679502973620228,yudichu,2021-04-29,"baca berita, yang beli babi hutan itu online di komunitas kucing depok 🥲"
1387679118896947202,bukanmantankam1,2021-04-29,"Utk warga depok, jdi ceritanya gini... Ada perampok. Abis gasak duit dia nglepasin babi hutan, jdilah babi ngepet ala konspirasi elit desa.... sekian ngga tau jga"
1387677860949725184,tribunnews,2021-04-29,Adanya babi ngepet yang menggegerkan warga Depok rupanya adalah rekayasa seorang ustaz.  Hal tersebut terungkap dari penyelidikan yang dilakukan oleh Polres Metro Depok.  Babi hutan yang menggegerkan warga itu bahkan diketahui dibeli oleh sang ustaz secara online.  https://t.co/ent2DPol2J
1387677704359612419,marxhaen,2021-04-29,"Berkaca dari kasus babi ngepet, fix orang Depok aneh. Orang Taman Mini jauh di atas orang Depok"
